ID,transaction_amount,account_tenure_years,num_prior_fraud_flags,country_risk_score,is_international,merchant_category,hour_of_day,channel,is_fraud
10367,239.36793898692366,1.9618948272051628,0,2,0,clothing,9,web,0
10368,149.44647302155875,8.014908341,0,6,0,electronics,18,mobile,0
10369,138.22835843709535,1.1826993990893595,0,9,1,travel,20,branch,1
10370,138.23022943318006,3.9436047897151956,0,4,0,grocery,10,mobile,0
10371,464.9714412230651,0.9913288550080441,0,3,0,clothing,11,web,1
10372,286.6706230964222,2.133934260780778,0,9,0,travel,9,branch,1
10373,113.1078001740899,13.394280181503353,0,2,0,grocery,6,branch,1
10374,246.98144734312132,0.789651483,0,9,0,clothing,23,mobile,0
10375,199.8960264064647,5.003811617914973,0,2,0,grocery,7,mobile,1
10376,21.59149434905854,4.4941487416039045,1,3,0,luxury,10,branch,1
10377,67.12422826877062,0.6433638043394342,0,7,1,grocery,17,mobile,0
10378,210.61656373481634,1.9724703811102364,0,2,0,luxury,15,mobile,0
10379,436.51768674835284,4.138898805092391,0,1,0,luxury,0,web,0
10380,139.1852184959146,1.0362194241137013,0,9,1,grocery,5,branch,0
10381,105.80274390543036,8.062805332352259,0,6,0,luxury,16,web,1
10382,181.40075414721656,17.905780377339234,0,9,0,clothing,21,web,1
10383,100.52844807180976,1.208825556,1,3,0,luxury,12,branch,1
10384,131.77413811391884,1.0345794545311118,0,3,0,electronics,22,branch,0
10385,164.93024789402645,3.034251785491034,0,3,0,clothing,9,web,1
10386,64.01373048438835,6.886975925355955,0,2,1,clothing,9,branch,0
10387,297.00600942131393,1.6536480571555257,0,6,1,clothing,0,web,1
10388,53.51814462790401,0.10040086339781301,0,3,0,electronics,6,web,1
10389,47.27934438346734,3.8959292778830235,0,5,0,electronics,19,mobile,0
10390,193.39504178881347,15.686544600786894,0,5,0,electronics,8,web,0
10391,281.33538079790503,2.4819586060834427,0,3,0,electronics,10,branch,1
10392,189.78355743570705,2.7247959616318536,0,3,0,electronics,19,web,0
10393,152.1779177084601,17.353013369956273,0,1,0,travel,1,web,0
10394,130.73814349834743,5.930789049874469,0,6,0,travel,0,branch,0
10395,113.99098306866505,6.35006311,0,3,0,electronics,22,branch,1
10396,343.7799300519449,4.135702031877204,0,1,0,clothing,11,mobile,1
10397,212.10439393899222,18.366844015678826,0,9,0,luxury,6,branch,1
10398,121.73188136586542,5.837665742007713,1,1,0,luxury,18,web,1
10399,93.66065293115572,11.27053448765512,0,5,0,travel,4,branch,0
10400,258.7618956707874,6.009522485963173,0,5,0,electronics,11,branch,0
10401,338.34416734022176,6.642313117051978,0,2,0,grocery,13,mobile,0
10402,318.1209781802889,1.7153462003784816,0,1,0,luxury,6,web,1
10403,80.10470482,1.8082845094974267,0,6,0,luxury,7,mobile,1
10404,129.84978012876243,7.638935943313055,0,7,1,clothing,13,mobile,1
10405,112.14349675200985,1.759903390398407,1,9,0,luxury,11,web,1
10406,143.82881157859885,4.136480342423351,0,8,0,travel,8,branch,1
10407,295.10885233632564,1.434094298347145,0,3,0,electronics,9,web,0
10408,410.22624572072107,8.490891575065923,0,9,0,electronics,9,mobile,1
10409,217.84871403084986,0.5854864548209006,0,1,0,luxury,0,mobile,0
10410,96.48446230922173,8.843535339733302,0,6,0,grocery,21,web,1
10411,162.0841964888904,4.615693132724475,0,2,0,travel,5,mobile,0
10412,461.25395350735846,1.0345645117465523,0,9,0,l,13,branch,1
10413,178.1588601553853,3.9048167939156024,0,9,0,travel,22,branch,0
10414,130.96847025755773,1.6599035511549283,0,8,0,grocery,8,web,1
10415,139.88526118012786,1.9538727342334394,0,7,0,travel,22,web,0
10416,217.1513364048012,2.1656825843253165,0,6,0,travel,22,branch,0
10417,82.56317345052628,0.3270638330797551,0,2,0,travel,11,web,0
10418,109.91971181233626,21.329824295962837,0,4,0,electronics,18,b,1
10419,314.97723935742505,0.1602127558447292,1,7,0,grocery,19,branch,1
10420,212.8127615323064,5.43090252,0,6,1,electronics,21,branch,1
10421,179.516084,2.319930039568459,1,9,1,clothing,22,branch,1
10422,325.60135646790343,5.192437183709089,1,5,0,luxury,11,web,1
10423,91.46857837815253,2.2022105667875893,0,6,0,electronics,12,branch,0
10424,127.84349172309804,5.600466506086304,0,6,0,travel,2,branch,1
10425,207.8930304781394,6.532529372820298,0,8,0,clothing,10,mobile,1
10426,202.6914590597363,5.8648364169489255,0,8,0,grocery,1,mobile,0
10427,42.58455742984131,0.6049770943335147,0,6,1,grocery,17,mobile,0
10428,118.04614136051148,5.348568055110441,0,8,0,electronics,17,mobile,1
10429,146.69983703616063,1.6424338734834174,0,7,1,travel,23,web,0
10430,224.4605542031768,0.14612134945072602,0,1,0,travel,8,mobile,0
10431,202.17636415175994,2.679270119351547,1,5,0,grocery,0,mobile,1
10432,157.23929640013088,2.8417714377923344,1,5,0,travel,15,mobile,1
10433,21.410508190600062,3.1478030621086157,0,9,0,luxury,0,web,0
10434,163.26711944514605,6.100920253431413,0,7,0,electronics,20,branch,0
10435,174.56390277852233,1.8469472239173124,0,7,1,electronics,19,mobile,1
10436,729.7997789,1.8937301638609694,0,2,1,travel,23,branch,0
10437,143.04597726306332,0.312315415,0,8,0,grocery,4,mobile,1
10438,208.70595224639973,5.804905283,0,3,0,luxury,16,web,0
10439,362.0212758880965,4.194636027706973,0,9,0,luxury,7,web,0
10440,283.80726964723607,2.149494324856349,1,6,1,luxury,5,web,1
10441,421.2804580611479,6.107103672089202,0,9,0,clothing,0,branch,1
10442,43.291221940768644,3.854006000400974,0,9,0,travel,12,web,1
10443,68.70618941603256,3.167273279130964,0,7,0,luxury,17,branch,1
10444,103.72670444422269,3.5802834915725708,1,8,1,travel,3,web,1
10445,35.93171948522547,5.057791285,0,2,0,grocery,14,mobile,0
10446,175.67572936081476,5.394086609573998,0,5,1,grocery,13,mobile,0
10447,73.91777106,1.7051176241777488,0,3,0,grocery,15,mobile,0
10448,457.52087466820905,0.7584381977959282,0,1,0,clothing,4,mobile,0
10449,84.62008804452891,0.8517723317156073,0,6,0,grocery,0,branch,0
10450,128.45032178696397,5.099803469,0,9,0,travel,22,web,1
10451,295.2962159704253,10.312854700399761,0,2,0,electronics,3,branch,1
10452,52.91380569674935,2.633896704,0,9,0,electronics,16,branch,1
10453,33.358316490999115,0.9287581257677281,0,8,0,travel,5,mobile,0
10454,191.65717437776124,7.065296813151689,0,9,0,electronics,3,web,1
10455,202.5190485749753,8.933545452022233,0,5,0,luxury,6,branch,0
10456,289.3454639823831,10.625645231476806,0,2,0,electronics,0,branch,1
10457,243.53772200277479,4.667584125085228,0,6,0,clothing,9,branch,1
10458,208.02236705702893,9.856652199744204,0,7,0,grocery,12,branch,0
10459,93.38814169542263,0.077675021,0,3,0,electronics,8,web,1
10460,198.48449116369443,0.5671639435372023,0,6,0,electronics,13,mobile,1
10461,207.43742601607025,0.48572768399672445,0,6,0,clothing,0,mobile,1
10462,90.40842928085176,6.234483020995512,0,8,0,clothing,8,branch,1
10463,542.2075519778427,0.3606054940147458,0,1,0,electronics,5,web,1
10464,235.62735707681094,3.4295111680797308,0,4,0,luxury,9,web,1
10465,69.84617454703965,3.199993577375699,0,1,1,electronics,10,branch,0
10466,290.3277905202262,1.8604190044780922,0,8,1,luxury,6,web,1
10467,324.5395140403899,10.216711936940994,0,2,0,grocery,19,branch,1
10468,225.83783487614159,0.9342582221012691,0,8,0,travel,21,mobile,0
10469,136.9519838,2.1728950561441334,0,3,1,grocery,11,mobile,1
10470,87.06853460462098,7.439897087204884,0,8,0,electronics,21,mobile,0
10471,156.9097196352098,0.1544733897569499,0,6,1,electronics,11,branch,1
10472,214.7025945722302,5.588217191917744,2,1,1,luxury,13,branch,1
10473,168.3508449691649,8.474917086104238,0,7,0,c,9,mobile,1
10474,433.55272169876156,13.460970788886337,0,7,0,luxury,15,branch,1
10475,261.19128358470556,10.449344207178932,0,6,0,clothing,21,web,0
10476,78.69200543779318,1.9237859009079474,0,1,0,clothing,3,mobile,0
10477,63.11876548292238,4.413846303085106,0,5,1,clothing,22,web,1
10478,237.03511150172915,0.4022203622797178,1,1,1,clothing,13,web,1
10479,139.45025259693506,1.4911542689268644,0,1,1,electronics,1,branch,0
10480,276.8812146,0.494807271,0,6,0,travel,1,branch,1
10481,235.5305628586492,1.8930494719405861,1,8,1,travel,10,mobile,1
10482,157.44018794262604,10.404701860174546,0,1,1,grocery,10,branch,0
10483,79.50606810600569,2.1321683977740036,0,2,1,grocery,5,branch,0
10484,37.61997246865219,4.126518770566426,0,5,1,grocery,2,web,0
10485,195.86207416977896,2.840339453680581,0,8,0,luxury,22,branch,1
10486,52.02515336190322,3.070908565726125,0,4,0,grocery,8,mobile,0
10487,76.62041294056972,17.461968727146942,0,5,0,grocery,2,branch,0
10488,187.3106279986648,1.7559818102332265,0,5,0,grocery,0,mobile,0
10489,174.2948875519292,4.935235646982564,0,3,0,electronics,1,web,0
10490,58.37219565,2.724176161393242,0,6,0,grocery,14,web,0
10491,349.2326563523553,0.315477446,2,5,0,travel,10,web,1
10492,343.0858430448409,3.3601665922677784,1,2,0,electronics,7,mobile,1
10493,242.39142083758645,8.392421669053794,0,4,1,clothing,15,web,0
10494,242.18444540979806,0.519879422,0,4,0,luxury,22,web,1
10495,242.39347891307315,0.3606595767217483,0,7,0,electronics,16,branch,1
10496,322.65599468570633,0.8340022955589856,0,7,0,electronics,2,mobile,1
10497,265.69753608282485,7.228101499973706,0,9,0,travel,7,web,1
10498,85.47978107475362,6.4366884464578265,0,2,0,grocery,6,branch,0
10499,137.9248481,4.162250484,0,6,0,clothing,20,branch,0
10500,679.6532198224487,3.157687259122399,0,2,0,travel,2,web,0
10501,23.14843190712702,10.960848535352582,0,9,1,travel,6,mobile,1
10502,112.86297094694572,7.277103861188934,0,2,0,electronics,4,web,1
10503,350.4812556028296,8.355030946969356,1,6,1,clothing,0,branch,1
10504,90.32668262358366,8.390251639125069,1,8,1,travel,4,mobile,1
10505,270.6979288349223,5.146137636338024,0,6,1,luxury,2,branch,1
10506,172.61946383968552,3.0625813001962827,0,3,0,luxury,17,web,1
10507,95.90449170296422,10.00048164,0,5,0,travel,18,mobile,1
10508,18.101121712115862,13.018952143419426,0,4,0,electronics,9,web,0
10509,191.9152519935468,0.12046993071371832,0,1,0,luxury,3,web,0
10510,83.86093214828443,0.26465671979915345,0,5,0,electronics,12,web,1
