ID,transaction_amount,account_tenure_years,num_prior_fraud_flags,country_risk_score,is_international,merchant_category,hour_of_day,channel,is_fraud,customer_age,device_trust_score,ethnicity,gender,country_of_origin,,,,
10367,239.367939,1.961894827,0,2,0,clothing,9,web,0,70,0.788579217,Other,Male,Nigeria,,,,
10368,149.446473,8.014908341,0,6,0,electronics,18,mobile,0,46,0.711115599,Other,Male,France,,,,
10369,138.2283584,1.182699399,0,9,1,travel,20,branch,1,40,0.319214107,Black,Female,France,,,Average Transaction Amount,201.75399
10370,138.2302294,3.94360479,0,4,0,grocery,10,mobile,0,74,0.490208089,Asian,Male,UK,,,,
10371,464.9714412,0.991328855,0,3,0,clothing,11,web,1,67,0.076153386,Asian,Female,India,,,Median Transaction Amount,169.1314404
10372,286.6706231,2.133934261,0,9,0,travel,9,branch,1,38,0.827500268,Other,Other,UK,,,,
10373,113.1078002,13.39428018,0,2,0,grocery,6,branch,1,65,0.265954809,Black,Other,India,,,,
10374,246.9814473,0.789651483,0,9,0,clothing,23,mobile,0,60,0.889225142,Other,Female,India,,,Average Customer Age,48.5238
10375,199.8960264,5.003811618,0,2,0,grocery,7,mobile,1,27,0.596796693,Other,Female,France,,,,
10376,21.59149435,4.494148742,1,3,0,luxury,10,branch,1,58,0.567820162,Asian,Female,Nigeria,,,,
10377,67.12422827,0.643363804,0,7,1,grocery,17,mobile,0,29,0.162718742,Other,Female,Nigeria,,,,
10378,210.6165637,1.972470381,0,2,0,luxury,15,mobile,0,47,0.06953536,Black,Male,Brazil,,,,
10379,436.5176867,4.138898805,0,1,0,luxury,0,web,0,78,0.552616581,Asian,Other,India,,,,
10380,139.1852185,1.036219424,0,9,1,grocery,5,branch,0,68,0.467989123,Asian,Female,France,,,,
10381,105.8027439,8.062805332,0,6,0,luxury,16,web,1,50,0.119683034,Other,Female,India,,,,
10382,181.4007541,17.90578038,0,9,0,clothing,21,web,1,35,0.835587723,White,Other,China,,,,
10383,100.5284481,1.208825556,1,3,0,luxury,12,branch,1,31,0.417240119,Other,Female,Brazil,,,,
10384,131.7741381,1.034579455,0,3,0,electronics,22,branch,0,39,0.2604578,Black,Other,China,,,,
10385,164.9302479,3.034251785,0,3,0,clothing,9,web,1,38,0.788272093,White,Other,France,,,,
10386,64.01373048,6.886975925,0,2,1,clothing,9,branch,0,18,0.913064157,Black,Female,India,,,,
10387,297.0060094,1.653648057,0,6,1,clothing,0,web,1,66,0.305962703,Asian,Male,Nigeria,,,,
10388,53.51814463,0.100400863,0,3,0,electronics,6,web,1,60,0.775949885,Black,Female,Nigeria,,,,
10389,47.27934438,3.895929278,0,5,0,electronics,19,mobile,0,69,0.652519657,Black,Male,Brazil,,,,
10390,193.3950418,15.6865446,0,5,0,electronics,8,web,0,77,0.989727784,Black,Female,China,,,,
10391,281.3353808,2.481958606,0,3,0,electronics,10,branch,1,32,0.203992707,Other,Male,Nigeria,,,,
10392,189.7835574,2.724795962,0,3,0,electronics,19,web,0,53,0.960678995,Other,Other,India,,,,
10393,152.1779177,17.35301337,0,1,0,travel,1,web,0,64,0.315272057,Black,Other,Brazil,,,,
10394,130.7381435,5.93078905,0,6,0,travel,0,branch,0,71,0.411954298,Other,Female,China,,,,
10395,113.9909831,6.35006311,0,3,0,electronics,22,branch,1,39,0.358825814,Asian,Female,UK,,,,
10396,343.7799301,4.135702032,0,1,0,clothing,11,mobile,1,49,0.268450697,Asian,Male,Brazil,,,,
10397,212.1043939,18.36684402,0,9,0,luxury,6,branch,1,75,0.693222581,White,Male,Nigeria,,,,
10398,121.7318814,5.837665742,1,1,0,luxury,18,web,1,63,0.589145321,Other,Male,France,,,,
10399,93.66065293,11.27053449,0,5,0,travel,4,branch,0,71,0.305691946,Other,Male,Brazil,,,,
10400,258.7618957,6.009522486,0,5,0,electronics,11,branch,0,50,0.132212457,Black,Male,India,,,,
10401,338.3441673,6.642313117,0,2,0,grocery,13,mobile,0,75,0.317375638,White,Female,China,,,,
10402,318.1209782,1.7153462,0,1,0,luxury,6,web,1,58,0.381231312,Asian,Other,Brazil,,,,
10403,80.10470482,1.808284509,0,6,0,luxury,7,mobile,1,76,0.380653443,Asian,Male,Nigeria,,,,
10404,129.8497801,7.638935943,0,7,1,clothing,13,mobile,1,56,0.357259534,Black,Other,Brazil,,,,
10405,112.1434968,1.75990339,1,9,0,luxury,11,web,1,40,0.048722506,Other,Other,India,,,,
